ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Sale price,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,simple,IP15PM-01,iPhone 15 Pro Max 256GB Titan Đen,1,1,visible,"Chip A17 Bionic, Camera 48MP, Khung Titan.",Điện thoại thông minh cao cấp với hiệu năng và camera hàng đầu.,1,15,32000000,31500000,"Apple, Flagship","iPhone, Titan, 5G",Chipset,A17 Bionic,1,1,Bộ nhớ,256GB,1,1
,simple,IP15PM-02,iPhone 15 Pro Max 512GB Titan Tự Nhiên,1,0,visible,"Chip A17 Bionic, Camera 48MP, Khung Titan.",Điện thoại thông minh cao cấp với hiệu năng và camera hàng đầu.,1,10,38000000,37500000,"Apple, Flagship","iPhone, Titan, 5G",Chipset,A17 Bionic,1,1,Bộ nhớ,512GB,1,1
,simple,SSGS24U-03,Samsung S24 Ultra 256GB Xám Titan,1,1,visible,"Camera 200MP, S Pen, Vi xử lý Snapdragon for Galaxy.",Khám phá sức mạnh AI và thiết kế Titan mới của Samsung.,1,20,30000000,29000000,"Samsung, Flagship","Galaxy, S Pen, AI",RAM,12GB,1,1,Màu sắc,Xám Titan,1,1
,simple,SSGS24U-04,Samsung S24 Ultra 512GB Tím,1,0,visible,"Camera 200MP, S Pen, Vi xử lý Snapdragon for Galaxy.",Khám phá sức mạnh AI và thiết kế Titan mới của Samsung.,1,8,33000000,,"Samsung, Flagship","Galaxy, S Pen, AI",RAM,12GB,1,1,Màu sắc,Tím,1,1
,simple,XMI14-05,Xiaomi 14 512GB Xanh Ngọc,1,0,visible,"Camera Leica, Chip Snapdragon 8 Gen 3, Sạc nhanh.",Điện thoại hiệu năng cao với trải nghiệm chụp ảnh chuyên nghiệp.,1,18,21000000,20500000,Xiaomi,"Leica, Snapdragon",Chipset,Snap 8 Gen 3,1,1,Sạc nhanh,90W,1,1
,simple,XMI14-06,Xiaomi 14 256GB Trắng,1,0,visible,"Camera Leica, Chip Snapdragon 8 Gen 3, Sạc nhanh.",Điện thoại hiệu năng cao với trải nghiệm chụp ảnh chuyên nghiệp.,1,12,19500000,19000000,Xiaomi,"Leica, Snapdragon",Chipset,Snap 8 Gen 3,1,1,Sạc nhanh,90W,1,1
,simple,OPPRN12-07,OPPO Reno12 5G Vàng,1,0,visible,"Chuyên gia Chân dung, Thiết kế Glow thời thượng.","Hiệu năng mượt mà, camera chân dung ấn tượng.",1,25,11000000,,OPPO,"Reno, Chân dung",Camera chính,50MP,1,1,Màu sắc,Vàng,1,1
,simple,OPPRN12-08,OPPO Reno12 5G Xanh Bạc,1,0,visible,"Chuyên gia Chân dung, Thiết kế Glow thời thượng.","Hiệu năng mượt mà, camera chân dung ấn tượng.",1,30,11000000,10500000,OPPO,"Reno, Chân dung",Camera chính,50MP,1,1,Màu sắc,Xanh Bạc,1,1
,simple,IPSE-09,iPhone SE (2025) 128GB Đỏ,1,0,visible,"Thiết kế nhỏ gọn, Chip A15 Bionic mạnh mẽ.","Chiếc iPhone giá phải chăng, hiệu năng cao.",1,40,14000000,,"Apple, Giá tốt","iPhone, Nhỏ gọn",Chipset,A15 Bionic,1,1,Dung lượng,128GB,1,1
,simple,VISMART-10,Vinsmart Live 5,1,0,visible,"Màn hình AMOLED, Pin lớn 5000mAh.","Điện thoại thương hiệu Việt, cấu hình tốt trong tầm giá.",1,50,3500000,3200000,"Khác, Giá rẻ","Vsmart, Pin trâu",Pin,5000mAh,1,1,RAM,6GB,1,1
,simple,IP14P-11,iPhone 14 Pro 128GB Vàng,1,0,visible,"Dynamic Island, Chip A16, Camera Pro 48MP.",Hiệu năng vượt trội và tính năng đột phá.,1,20,25000000,24500000,"Apple, Cao cấp","iPhone, Dynamic Island",Dung lượng,128GB,1,1,Màu sắc,Vàng,1,1
,simple,IP14P-12,iPhone 14 Pro 256GB Tím,1,0,visible,"Dynamic Island, Chip A16, Camera Pro 48MP.",Hiệu năng vượt trội và tính năng đột phá.,1,15,27500000,,"Apple, Cao cấp","iPhone, Dynamic Island",Dung lượng,128GB,1,1,Màu sắc,Tím,1,1
,simple,SSGS23F-13,Samsung Galaxy S23 FE Xanh Mint,1,1,visible,"Thiết kế Fan Edition, Màn hình Dynamic AMOLED 2X.","Hiệu năng ổn định, camera chất lượng cao.",1,35,15000000,14500000,Samsung,"FE, AMOLED",RAM,8GB,1,1,Pin,4500mAh,1,1
,simple,SSGA55-14,Samsung Galaxy A55 5G Đen,1,0,visible,"Camera OIS, Thiết kế kim loại cao cấp.","Điện thoại tầm trung mạnh mẽ, chụp ảnh sắc nét.",1,45,9500000,9000000,"Samsung, Tầm trung","Galaxy A, 5G",Chipset,Exynos 1480,1,1,Bộ nhớ,128GB,1,1
,simple,SSGA35-15,Samsung Galaxy A35 5G Trắng,1,0,visible,"Màn hình Super AMOLED 120Hz, kháng nước IP67.","Trải nghiệm mượt mà, bền bỉ.",1,50,8000000,,"Samsung, Tầm trung","Galaxy A, 5G",Camera,50MP,1,1,Pin,5000mAh,1,1
,simple,GGPIXEL9-16,Google Pixel 9 128GB Đen,1,1,visible,"Tensor G4, Tính năng AI độc quyền, Camera kép.",Trải nghiệm Android thuần khiết với các tính năng thông minh.,1,15,22000000,,"Google, Cao cấp","Pixel, Google AI",Chipset,Tensor G4,1,1,Màu sắc,Đen,1,1
,simple,GGPIXEL9-17,Google Pixel 9 256GB Xanh,1,0,visible,"Tensor G4, Tính năng AI độc quyền, Camera kép.",Trải nghiệm Android thuần khiết với các tính năng thông minh.,1,10,24000000,,"Google, Cao cấp","Pixel, Google AI",Chipset,Tensor G4,1,1,Màu sắc,Xanh,1,1
,simple,SONY1V-18,Sony Xperia 1 V Đen,1,0,visible,"Màn hình 4K HDR, Chụp ảnh chuyên nghiệp.",Dòng điện thoại dành cho người đam mê nhiếp ảnh và video.,1,7,28000000,,"Sony, Cao cấp","Xperia, 4K",Màn hình,4K,1,1,RAM,12GB,1,1
,simple,SONY5V-19,Sony Xperia 5 V Bạc,1,0,visible,"Thiết kế nhỏ gọn, Chip Snapdragon mạnh mẽ.",Hiệu năng cao trong một thân hình dễ cầm nắm.,1,12,19000000,18500000,"Sony, Cao cấp","Xperia, Nhỏ gọn",Chipset,Snap 8 Gen 2,1,1,Pin,5000mAh,1,1
,simple,MOTOG54-20,Motorola Moto G54 5G Xanh,1,0,visible,"Pin 6000mAh, Màn hình 120Hz.","Điện thoại pin trâu, giải trí mượt mà.",1,60,6000000,,"Khác, Tầm trung","Pin trâu, 5G",Pin,6000mAh,1,1,RAM,8GB,1,1
,simple,LENOVO-21,Lenovo Legion Phone Duel 2,1,0,visible,"Điện thoại Gaming, Sạc kép, Tản nhiệt.",Thiết kế dành riêng cho game thủ di động.,1,5,16000000,15000000,"Khác, Gaming","Gaming, Legion",Loại,Gaming,1,1,Tản nhiệt,Dual Fan,1,1
,simple,ZTETRONS-22,ZTE Red Magic 8S Pro Đen,1,0,visible,"Màn hình không khuyết điểm, Quạt tản nhiệt tích hợp.",Hiệu năng tuyệt đỉnh cho các tựa game nặng.,1,10,17500000,,"Khác, Gaming","Gaming, Red Magic",RAM,16GB,1,1,Pin,6000mAh,1,1
,simple,ASROG7-23,ASUS ROG Phone 7 Ultimate,1,0,visible,"AirTrigger, Cổng AeroActive Cooler, Pin 6000mAh.",Ông vua hiệu năng trong làng điện thoại gaming.,1,3,29000000,,"ASUS, Gaming","ROG, Gaming",Chipset,Snap 8 Gen 2,1,1,Tần số quét,165Hz,1,1
,simple,VIVOX100-24,Vivo X100 Pro Xanh,1,1,visible,"Camera Zeiss, Chip Dimensity 9300.","Chụp ảnh đỉnh cao, hiệu năng hàng đầu.",1,18,25500000,25000000,"Khác, Cao cấp","Vivo, Zeiss",Ống kính,Zeiss,1,1,Chipset,Dimensity 9300,1,1
,simple,VIVOY36-25,Vivo Y36 Vàng,1,0,visible,"Pin 5000mAh, Sạc nhanh 44W.","Thiết kế đẹp, pin bền.",1,55,6500000,,"Khác, Giá rẻ","Vivo, Y-series",Sạc nhanh,44W,1,1,Pin,5000mAh,1,1
,simple,OPOFINDN-26,OPPO Find N3 Gập,1,0,visible,"Màn hình gập, Camera Hasselblad.","Điện thoại màn hình gập cao cấp, tối ưu công việc.",1,5,40000000,,"OPPO, Màn hình gập","Gập, Find",Màn hình,Gập,1,1,Camera,Hasselblad,1,1
,simple,OPORENO10-27,OPPO Reno10 5G Xám,1,0,visible,"Camera Chân dung, Thiết kế mỏng nhẹ.",Phù hợp cho giới trẻ thích chụp ảnh.,1,45,8000000,7500000,"OPPO, Tầm trung","Reno, Chân dung",RAM,8GB,1,1,Sạc nhanh,67W,1,1
,simple,IP13-28,iPhone 13 128GB Xanh,1,0,visible,"Chip A15 Bionic, Camera kép.",Lựa chọn tối ưu giữa hiệu năng và giá cả.,1,30,16000000,15500000,"Apple, Cao cấp","iPhone, A15",Chipset,A15 Bionic,1,1,Dung lượng,128GB,1,1
,simple,IP12-29,iPhone 12 64GB Trắng,1,0,visible,"Chip A14 Bionic, Hỗ trợ 5G.","iPhone cũ hơn, giá mềm hơn.",1,40,12000000,,"Apple, Phổ thông","iPhone, 5G",Chipset,A14 Bionic,1,1,Dung lượng,64GB,1,1
,simple,SSGZFLP-30,Samsung Galaxy Z Flip5 Kem,1,1,visible,"Màn hình phụ lớn, Gập linh hoạt.",Thiết kế thời trang và tiện lợi.,1,10,25000000,24000000,"Samsung, Màn hình gập","Gập, Z Flip",Chipset,Snap 8 Gen 2,1,1,Màu sắc,Kem,1,1
