ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Sale price,Categories,Tags,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,simple,IP14P-11,iPhone 14 Pro 128GB Vàng,1,0,visible,"Dynamic Island, Chip A16, Camera Pro 48MP.",Hiệu năng vượt trội và tính năng đột phá.,1,20,25000000,24500000,"Apple, Cao cấp","iPhone, Dynamic Island",http://localhost/bhshop/wp-content/uploads/2025/11/ip14p_vang.jpg,Dung lượng,128GB,1,1,Màu sắc,Vàng,1,1
,simple,IP14P-12,iPhone 14 Pro 256GB Tím,1,0,visible,"Dynamic Island, Chip A16, Camera Pro 48MP.",Hiệu năng vượt trội và tính năng đột phá.,1,15,27500000,,"Apple, Cao cấp","iPhone, Dynamic Island",http://localhost/bhshop/wp-content/uploads/2025/11/ip14p_tim.jpg,Dung lượng,128GB,1,1,Màu sắc,Tím,1,1
,simple,SSGS23F-13,Samsung Galaxy S23 FE Xanh Mint,1,1,visible,"Thiết kế Fan Edition, Màn hình Dynamic AMOLED 2X.","Hiệu năng ổn định, camera chất lượng cao.",1,35,15000000,14500000,Samsung,"FE, AMOLED",http://localhost/bhshop/wp-content/uploads/2025/11/s23fe_mint.jpg,RAM,8GB,1,1,Pin,4500mAh,1,1
,simple,SSGA55-14,Samsung Galaxy A55 5G Đen,1,0,visible,"Camera OIS, Thiết kế kim loại cao cấp.","Điện thoại tầm trung mạnh mẽ, chụp ảnh sắc nét.",1,45,9500000,9000000,"Samsung, Tầm trung","Galaxy A, 5G",http://localhost/bhshop/wp-content/uploads/2025/11/a55_den.jpg,Chipset,Exynos 1480,1,1,Bộ nhớ,128GB,1,1
,simple,SSGA35-15,Samsung Galaxy A35 5G Trắng,1,0,visible,"Màn hình Super AMOLED 120Hz, kháng nước IP67.","Trải nghiệm mượt mà, bền bỉ.",1,50,8000000,,"Samsung, Tầm trung","Galaxy A, 5G",http://localhost/bhshop/wp-content/uploads/2025/11/a35_trang.jpg,Camera,50MP,1,1,Pin,5000mAh,1,1
,simple,GGPIXEL9-16,Google Pixel 9 128GB Đen,1,1,visible,"Tensor G4, Tính năng AI độc quyền, Camera kép.",Trải nghiệm Android thuần khiết với các tính năng thông minh.,1,15,22000000,,"Google, Cao cấp","Pixel, Google AI",http://localhost/bhshop/wp-content/uploads/2025/11/pixel9_den.jpg,Chipset,Tensor G4,1,1,Màu sắc,Đen,1,1
,simple,GGPIXEL9-17,Google Pixel 9 256GB Xanh,1,0,visible,"Tensor G4, Tính năng AI độc quyền, Camera kép.",Trải nghiệm Android thuần khiết với các tính năng thông minh.,1,10,24000000,,"Google, Cao cấp","Pixel, Google AI",http://localhost/bhshop/wp-content/uploads/2025/11/pixel9_xanh.jpg,Chipset,Tensor G4,1,1,Màu sắc,Xanh,1,1
,simple,SONY1V-18,Sony Xperia 1 V Đen,1,0,visible,"Màn hình 4K HDR, Chụp ảnh chuyên nghiệp.",Dòng điện thoại dành cho người đam mê nhiếp ảnh và video.,1,7,28000000,,"Sony, Cao cấp","Xperia, 4K",http://localhost/bhshop/wp-content/uploads/2025/11/sony1v_den.jpg,Màn hình,4K,1,1,RAM,12GB,1,1
,simple,SONY5V-19,Sony Xperia 5 V Bạc,1,0,visible,"Thiết kế nhỏ gọn, Chip Snapdragon mạnh mẽ.",Hiệu năng cao trong một thân hình dễ cầm nắm.,1,12,19000000,18500000,"Sony, Cao cấp","Xperia, Nhỏ gọn",http://localhost/bhshop/wp-content/uploads/2025/11/sony5v_bac.jpg,Chipset,Snap 8 Gen 2,1,1,Pin,5000mAh,1,1
,simple,MOTOG54-20,Motorola Moto G54 5G Xanh,1,0,visible,"Pin 6000mAh, Màn hình 120Hz.","Điện thoại pin trâu, giải trí mượt mà.",1,60,6000000,,"Khác, Tầm trung","Pin trâu, 5G",http://localhost/bhshop/wp-content/uploads/2025/11/moto_g54.jpg,Pin,6000mAh,1,1,RAM,8GB,1,1
