ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
63,simple,,,"iphone 17",1,1,visible,"<img class=""alignnone size-full wp-image-64"" src=""http://localhost/9shop/wp-content/uploads/2025/11/ip17.jpg"" alt="""" width=""225"" height=""225"" />","Iphone 17 mang đến bước tiến mới với thiết kế mặt kính cường lực trước - sau kết hợp khung nhôm bền bỉ, tạo nên vẻ ngoài tinh tế và chắc chắn. Máy sở hữu màn hình <strong>Super Retina XDR 6.3 inch</strong> với<strong> </strong>tần số quét thích ứng lên đến <strong>120Hz</strong>, cho hình ảnh hiển thị siêu mượt và trải nghiệm giải trí sống động. Sản phẩm được trang bị chip <strong>Apple A19</strong> cùng dung lượng lưu trữ <strong>256GB</strong>, tối ưu cho đa nhiệm và xử lý tác vụ nặng. Cụm camera kép, với camera chính <strong>48MP Fusion Main</strong> và camera góc siêu rộng <strong>48MP Fusion Ultra Wide</strong>, kết hợp cùng camera trước <strong>18MP Center Stage</strong> đem lại những thước phim sắc nét và chân thực. Đây là lựa chọn hoàn hảo cho người dùng yêu thích thiết kế sang trọng, hiệu năng mạnh mẽ và trải nghiệm nhiếp ảnh chuyên nghiệp.",,,taxable,,1,1,,0,0,,,,,1,,3000000,20000000,Uncategorized,,,http://localhost/9shop/wp-content/uploads/2025/11/ip17.jpg,,,,,,,,,0,,,,,,,,,
68,simple,,,"Samsung Galaxy S20 FE 5G",1,1,visible,,"<h2>Điện thoại Samsung Galaxy S20 FE - Phiên bản đặc biệt dành cho fan Samsung.</h2>\n<h2><img src=""https://shopdidong.vn/profiles/shopdidongvn/uploads/attach/post/images/samsung-galaxy-s20-fe-5g-04-1280x800.jpg"" alt="""" /></h2>\n<h2>Samsung S20 FE là chiếc điện thoại sắp được ra mắt từ Samsung, với chữ FE đằng sau tên gọi của máy có nghĩa là Fan Edition. Đây là dòng điện thoại ra mắt như để gửi lời tri ân đến các fan trung thành đã và đang sử dụng các sản phẩm của Samsung. Với số lượng sản phẩm được giới hạn và chỉ mở bán trong thời gian ngắn.</h2>\nTham khảo thêm điện thoại Samsung Galaxy S21 FE với nhiều nâng cấp về cấu hình, camera và dung lượng pin.",,,taxable,,1,,,0,0,,,,,1,,3000000,20000000,Uncategorized,,,http://localhost/9shop/wp-content/uploads/2025/11/Samsung-Galaxy-S20-FE-5G.avif,,,,,,,,,0,,,,,,,,,
83,simple,IP15PM-01,,"iPhone 15 Pro Max 256GB Titan Đen",1,1,visible,"Chip A17 Bionic, Camera 48MP, Khung Titan.","Điện thoại thông minh cao cấp với hiệu năng và camera hàng đầu.",,,taxable,,1,15,,0,0,,,,,1,,31500000,32000000,"Apple, Flagship","5G, iPhone, Titan",,http://localhost/9shop/wp-content/uploads/2025/11/iPhone-15-Pro-Max-256GB-Titan-Den.avif,,,,,,,,,0,,Chipset,"A17 Bionic",1,1,"Bộ nhớ",256GB,1,1
84,simple,IP15PM-02,,"iPhone 15 Pro Max 512GB Titan Tự Nhiên",1,0,visible,"Chip A17 Bionic, Camera 48MP, Khung Titan.","Điện thoại thông minh cao cấp với hiệu năng và camera hàng đầu.",,,taxable,,1,10,,0,0,,,,,1,,37500000,38000000,"Apple, Flagship","5G, iPhone, Titan",,http://localhost/9shop/wp-content/uploads/2025/11/iPhone-15-Pro-Max-512GB-Titan-Tu-Nhien.avif,,,,,,,,,0,,Chipset,"A17 Bionic",1,1,"Bộ nhớ",512GB,1,1
85,simple,SSGS24U-03,,"Samsung S24 Ultra 256GB Xám Titan",1,1,visible,"Camera 200MP, S Pen, Vi xử lý Snapdragon for Galaxy.","Khám phá sức mạnh AI và thiết kế Titan mới của Samsung.",,,taxable,,1,20,,0,0,,,,,1,,29000000,30000000,"Flagship, Samsung","AI, Galaxy, S Pen",,http://localhost/9shop/wp-content/uploads/2025/11/Samsung-S24-Ultra-256GB-Xam-Titan.avif,,,,,,,,,0,,RAM,12GB,1,1,"Màu sắc","Xám Titan",1,1
86,simple,SSGS24U-04,,"Samsung S24 Ultra 512GB Tím",1,0,visible,"Camera 200MP, S Pen, Vi xử lý Snapdragon for Galaxy.","Khám phá sức mạnh AI và thiết kế Titan mới của Samsung.",,,taxable,,1,8,,0,0,,,,,1,,,33000000,"Flagship, Samsung","AI, Galaxy, S Pen",,http://localhost/9shop/wp-content/uploads/2025/11/Samsung-S24-Ultra-512GB-Tim.avif,,,,,,,,,0,,RAM,12GB,1,1,"Màu sắc",Tím,1,1
87,simple,XMI14-05,,"Xiaomi 14 512GB Xanh Ngọc",1,0,visible,"Camera Leica, Chip Snapdragon 8 Gen 3, Sạc nhanh.","Điện thoại hiệu năng cao với trải nghiệm chụp ảnh chuyên nghiệp.",,,taxable,,1,18,,0,0,,,,,1,,20500000,21000000,Xiaomi,"Leica, Snapdragon",,http://localhost/9shop/wp-content/uploads/2025/11/Xiaomi-14-512GB-Xanh-Ngoc.avif,,,,,,,,,0,,Chipset,"Snap 8 Gen 3",1,1,"Sạc nhanh",90W,1,1
88,simple,XMI14-06,,"Xiaomi 14 256GB Trắng",1,0,visible,"Camera Leica, Chip Snapdragon 8 Gen 3, Sạc nhanh.","Điện thoại hiệu năng cao với trải nghiệm chụp ảnh chuyên nghiệp.",,,taxable,,1,12,,0,0,,,,,1,,19000000,19500000,Xiaomi,"Leica, Snapdragon",,http://localhost/9shop/wp-content/uploads/2025/11/Xiaomi-14-256GB-Trang.avif,,,,,,,,,0,,Chipset,"Snap 8 Gen 3",1,1,"Sạc nhanh",90W,1,1
89,simple,OPPRN12-07,,"OPPO Reno12 5G Vàng",1,0,visible,"Chuyên gia Chân dung, Thiết kế Glow thời thượng.","Hiệu năng mượt mà, camera chân dung ấn tượng.",,,taxable,,1,25,,0,0,,,,,1,,,11000000,OPPO,"Chân dung, Reno",,http://localhost/9shop/wp-content/uploads/2025/11/OPPO-Reno12-5G-Vang.avif,,,,,,,,,0,,"Camera chính",50MP,1,1,"Màu sắc",Vàng,1,1
90,simple,OPPRN12-08,,"OPPO Reno12 5G Xanh Bạc",1,0,visible,"Chuyên gia Chân dung, Thiết kế Glow thời thượng.","Hiệu năng mượt mà, camera chân dung ấn tượng.",,,taxable,,1,30,,0,0,,,,,1,,10500000,11000000,OPPO,"Chân dung, Reno",,http://localhost/9shop/wp-content/uploads/2025/11/OPPO-Reno12-5G-Xanh-Bac.avif,,,,,,,,,0,,"Camera chính",50MP,1,1,"Màu sắc","Xanh Bạc",1,1
